STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/1/2022,82,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/2/2022,81,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/3/2022,82,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/4/2022,83,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/5/2022,84,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/6/2022,83,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/7/2022,82,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/8/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/9/2022,84,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/10/2022,83,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/11/2022,85,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/12/2022,86,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/13/2022,87,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/14/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/15/2022,86,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/16/2022,86,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/17/2022,,,65,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/18/2022,,,62,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/19/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/20/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/21/2022,90,",,S",61,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/22/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/23/2022,92,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/24/2022,87,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/25/2022,84,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/26/2022,84,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/27/2022,85,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/28/2022,82,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/29/2022,84,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/30/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,1/31/2022,,,56,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/1/2022,91,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/2/2022,92,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/3/2022,92,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/4/2022,91,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/5/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/6/2022,87,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/7/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/8/2022,89,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/9/2022,90,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/10/2022,86,",,S",66,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/11/2022,87,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/12/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/13/2022,87,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/14/2022,87,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/15/2022,88,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/16/2022,89,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/17/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/18/2022,90,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,2/19/2022,,,,
